"Stadtteil","Jahr","Personen","männlich","weiblich"
"Innenstadt-Ost","2007",288,151,137
"Innenstadt-Ost","2008",311,161,150
"Innenstadt-Ost","2009",297,157,140
"Innenstadt-Ost","2010",291,147,144
"Innenstadt-Ost","2011",288,157,131
"Innenstadt-Ost","2012",291,153,138
"Innenstadt-Ost","2013",271,141,130
"Innenstadt-Ost","2014",270,139,131
"Innenstadt-Ost","2015",277,139,138
"Innenstadt-Ost","2016",286,149,137
"Innenstadt-Ost","2017",287,138,149
"Innenstadt-Ost","2018",285,144,141
"Innenstadt-Ost","2019",278,141,137
"Innenstadt-Ost","2020",274,140,134
"Innenstadt-Ost","2021",270,138,132
"Innenstadt-West","2007",362,193,169
"Innenstadt-West","2008",372,195,177
"Innenstadt-West","2009",388,212,176
"Innenstadt-West","2010",397,210,187
"Innenstadt-West","2011",361,188,173
"Innenstadt-West","2012",354,174,180
"Innenstadt-West","2013",358,182,176
"Innenstadt-West","2014",375,187,188
"Innenstadt-West","2015",381,187,194
"Innenstadt-West","2016",382,195,187
"Innenstadt-West","2017",390,211,179
"Innenstadt-West","2018",364,189,175
"Innenstadt-West","2019",351,172,179
"Innenstadt-West","2020",329,156,173
"Innenstadt-West","2021",325,155,170
"Südstadt","2007",879,466,413
"Südstadt","2008",866,439,427
"Südstadt","2009",845,415,430
"Südstadt","2010",864,432,432
"Südstadt","2011",840,415,425
"Südstadt","2012",826,405,421
"Südstadt","2013",866,427,439
"Südstadt","2014",849,422,427
"Südstadt","2015",902,453,449
"Südstadt","2016",928,486,442
"Südstadt","2017",968,496,472
"Südstadt","2018",966,489,477
"Südstadt","2019",995,489,506
"Südstadt","2020",999,502,497
"Südstadt","2021",1019,510,509
"Südweststadt","2007",1267,658,609
"Südweststadt","2008",1292,655,637
"Südweststadt","2009",1295,654,641
"Südweststadt","2010",1362,702,660
"Südweststadt","2011",1382,720,662
"Südweststadt","2012",1368,706,662
"Südweststadt","2013",1379,706,673
"Südweststadt","2014",1430,750,680
"Südweststadt","2015",1376,709,667
"Südweststadt","2016",1353,678,675
"Südweststadt","2017",1369,677,692
"Südweststadt","2018",1341,657,684
"Südweststadt","2019",1342,662,680
"Südweststadt","2020",1337,662,675
"Südweststadt","2021",1363,686,677
"Weststadt","2007",1267,647,620
"Weststadt","2008",1255,625,630
"Weststadt","2009",1249,636,613
"Weststadt","2010",1269,644,625
"Weststadt","2011",1239,609,630
"Weststadt","2012",1223,596,627
"Weststadt","2013",1241,622,619
"Weststadt","2014",1259,616,643
"Weststadt","2015",1245,604,641
"Weststadt","2016",1270,625,645
"Weststadt","2017",1279,638,641
"Weststadt","2018",1256,626,630
"Weststadt","2019",1245,629,616
"Weststadt","2020",1243,638,605
"Weststadt","2021",1214,638,576
"Nordweststadt","2007",812,437,375
"Nordweststadt","2008",803,433,370
"Nordweststadt","2009",778,410,368
"Nordweststadt","2010",766,402,364
"Nordweststadt","2011",774,412,362
"Nordweststadt","2012",756,400,356
"Nordweststadt","2013",760,397,363
"Nordweststadt","2014",776,388,388
"Nordweststadt","2015",800,384,416
"Nordweststadt","2016",795,393,402
"Nordweststadt","2017",805,408,397
"Nordweststadt","2018",831,424,407
"Nordweststadt","2019",807,419,388
"Nordweststadt","2020",809,417,392
"Nordweststadt","2021",825,426,399
"Oststadt","2007",878,462,416
"Oststadt","2008",862,449,413
"Oststadt","2009",824,423,401
"Oststadt","2010",868,454,414
"Oststadt","2011",874,479,395
"Oststadt","2012",914,494,420
"Oststadt","2013",1049,568,481
"Oststadt","2014",1570,847,723
"Oststadt","2015",2137,1162,975
"Oststadt","2016",1206,641,565
"Oststadt","2017",1069,565,504
"Oststadt","2018",834,447,387
"Oststadt","2019",817,420,397
"Oststadt","2020",784,391,393
"Oststadt","2021",783,404,379
"Mühlburg","2007",995,512,483
"Mühlburg","2008",972,487,485
"Mühlburg","2009",981,497,484
"Mühlburg","2010",992,502,490
"Mühlburg","2011",993,507,486
"Mühlburg","2012",980,497,483
"Mühlburg","2013",955,476,479
"Mühlburg","2014",993,489,504
"Mühlburg","2015",998,503,495
"Mühlburg","2016",1036,506,530
"Mühlburg","2017",1012,500,512
"Mühlburg","2018",1028,495,533
"Mühlburg","2019",1021,472,549
"Mühlburg","2020",1000,479,521
"Mühlburg","2021",1011,508,503
"Daxlanden","2007",979,501,478
"Daxlanden","2008",967,493,474
"Daxlanden","2009",936,481,455
"Daxlanden","2010",927,487,440
"Daxlanden","2011",895,477,418
"Daxlanden","2012",874,466,408
"Daxlanden","2013",837,449,388
"Daxlanden","2014",832,449,383
"Daxlanden","2015",826,443,383
"Daxlanden","2016",832,451,381
"Daxlanden","2017",818,440,378
"Daxlanden","2018",820,434,386
"Daxlanden","2019",804,422,382
"Daxlanden","2020",797,422,375
"Daxlanden","2021",758,397,361
"Knielingen","2007",721,367,354
"Knielingen","2008",698,374,324
"Knielingen","2009",676,360,316
"Knielingen","2010",666,356,310
"Knielingen","2011",657,350,307
"Knielingen","2012",651,331,320
"Knielingen","2013",659,331,328
"Knielingen","2014",693,348,345
"Knielingen","2015",708,370,338
"Knielingen","2016",757,400,357
"Knielingen","2017",799,411,388
"Knielingen","2018",910,454,456
"Knielingen","2019",952,481,471
"Knielingen","2020",976,499,477
"Knielingen","2021",1008,530,478
"Grünwinkel","2007",824,417,407
"Grünwinkel","2008",764,386,378
"Grünwinkel","2009",775,388,387
"Grünwinkel","2010",766,381,385
"Grünwinkel","2011",779,396,383
"Grünwinkel","2012",760,384,376
"Grünwinkel","2013",776,389,387
"Grünwinkel","2014",776,396,380
"Grünwinkel","2015",795,399,396
"Grünwinkel","2016",799,402,397
"Grünwinkel","2017",907,453,454
"Grünwinkel","2018",967,496,471
"Grünwinkel","2019",985,517,468
"Grünwinkel","2020",896,476,420
"Grünwinkel","2021",920,482,438
"Oberreut","2007",984,539,445
"Oberreut","2008",959,524,435
"Oberreut","2009",943,518,425
"Oberreut","2010",895,475,420
"Oberreut","2011",905,466,439
"Oberreut","2012",881,465,416
"Oberreut","2013",867,453,414
"Oberreut","2014",839,426,413
"Oberreut","2015",852,425,427
"Oberreut","2016",836,424,412
"Oberreut","2017",807,420,387
"Oberreut","2018",824,432,392
"Oberreut","2019",869,472,397
"Oberreut","2020",845,463,382
"Oberreut","2021",826,442,384
"Beiertheim-Bulach","2007",490,264,226
"Beiertheim-Bulach","2008",467,254,213
"Beiertheim-Bulach","2009",476,252,224
"Beiertheim-Bulach","2010",472,246,226
"Beiertheim-Bulach","2011",471,232,239
"Beiertheim-Bulach","2012",458,240,218
"Beiertheim-Bulach","2013",466,232,234
"Beiertheim-Bulach","2014",485,236,249
"Beiertheim-Bulach","2015",476,239,237
"Beiertheim-Bulach","2016",487,247,240
"Beiertheim-Bulach","2017",464,245,219
"Beiertheim-Bulach","2018",452,235,217
"Beiertheim-Bulach","2019",466,251,215
"Beiertheim-Bulach","2020",465,249,216
"Beiertheim-Bulach","2021",466,249,217
"Weiherfeld-Dammerstock","2007",413,212,201
"Weiherfeld-Dammerstock","2008",410,212,198
"Weiherfeld-Dammerstock","2009",425,221,204
"Weiherfeld-Dammerstock","2010",446,241,205
"Weiherfeld-Dammerstock","2011",433,228,205
"Weiherfeld-Dammerstock","2012",442,236,206
"Weiherfeld-Dammerstock","2013",440,241,199
"Weiherfeld-Dammerstock","2014",454,241,213
"Weiherfeld-Dammerstock","2015",443,237,206
"Weiherfeld-Dammerstock","2016",443,240,203
"Weiherfeld-Dammerstock","2017",427,227,200
"Weiherfeld-Dammerstock","2018",420,220,200
"Weiherfeld-Dammerstock","2019",424,221,203
"Weiherfeld-Dammerstock","2020",424,222,202
"Weiherfeld-Dammerstock","2021",422,209,213
"Rüppurr","2007",863,448,415
"Rüppurr","2008",835,426,409
"Rüppurr","2009",812,407,405
"Rüppurr","2010",796,400,396
"Rüppurr","2011",812,416,396
"Rüppurr","2012",821,409,412
"Rüppurr","2013",861,439,422
"Rüppurr","2014",858,437,421
"Rüppurr","2015",872,436,436
"Rüppurr","2016",866,446,420
"Rüppurr","2017",869,453,416
"Rüppurr","2018",890,465,425
"Rüppurr","2019",908,475,433
"Rüppurr","2020",909,465,444
"Rüppurr","2021",899,459,440
"Waldstadt","2007",926,473,453
"Waldstadt","2008",940,483,457
"Waldstadt","2009",959,493,466
"Waldstadt","2010",966,488,478
"Waldstadt","2011",1001,522,479
"Waldstadt","2012",994,528,466
"Waldstadt","2013",992,523,469
"Waldstadt","2014",966,511,455
"Waldstadt","2015",1004,521,483
"Waldstadt","2016",1011,525,486
"Waldstadt","2017",1037,547,490
"Waldstadt","2018",1024,546,478
"Waldstadt","2019",1053,557,496
"Waldstadt","2020",1034,552,482
"Waldstadt","2021",1023,547,476
"Rintheim","2007",427,212,215
"Rintheim","2008",447,212,235
"Rintheim","2009",445,216,229
"Rintheim","2010",461,212,249
"Rintheim","2011",460,217,243
"Rintheim","2012",465,213,252
"Rintheim","2013",458,214,244
"Rintheim","2014",479,232,247
"Rintheim","2015",498,250,248
"Rintheim","2016",510,252,258
"Rintheim","2017",536,265,271
"Rintheim","2018",524,259,265
"Rintheim","2019",530,271,259
"Rintheim","2020",517,267,250
"Rintheim","2021",520,261,259
"Hagsfeld","2007",675,345,330
"Hagsfeld","2008",651,332,319
"Hagsfeld","2009",609,302,307
"Hagsfeld","2010",593,315,278
"Hagsfeld","2011",583,307,276
"Hagsfeld","2012",600,324,276
"Hagsfeld","2013",584,307,277
"Hagsfeld","2014",575,296,279
"Hagsfeld","2015",563,297,266
"Hagsfeld","2016",554,290,264
"Hagsfeld","2017",553,280,273
"Hagsfeld","2018",570,288,282
"Hagsfeld","2019",582,305,277
"Hagsfeld","2020",574,297,277
"Hagsfeld","2021",597,311,286
"Durlach","2007",2168,1059,1109
"Durlach","2008",2128,1056,1072
"Durlach","2009",2185,1079,1106
"Durlach","2010",2157,1081,1076
"Durlach","2011",2160,1084,1076
"Durlach","2012",2149,1077,1072
"Durlach","2013",2135,1085,1050
"Durlach","2014",2134,1087,1047
"Durlach","2015",2118,1088,1030
"Durlach","2016",2133,1095,1038
"Durlach","2017",2116,1083,1033
"Durlach","2018",2087,1064,1023
"Durlach","2019",2138,1098,1040
"Durlach","2020",2169,1111,1058
"Durlach","2021",2184,1107,1077
"Grötzingen","2007",799,394,405
"Grötzingen","2008",795,389,406
"Grötzingen","2009",757,370,387
"Grötzingen","2010",742,370,372
"Grötzingen","2011",731,364,367
"Grötzingen","2012",711,358,353
"Grötzingen","2013",719,363,356
"Grötzingen","2014",730,377,353
"Grötzingen","2015",719,381,338
"Grötzingen","2016",704,367,337
"Grötzingen","2017",698,369,329
"Grötzingen","2018",683,348,335
"Grötzingen","2019",683,352,331
"Grötzingen","2020",693,364,329
"Grötzingen","2021",717,373,344
"Stupferich","2007",227,127,100
"Stupferich","2008",234,126,108
"Stupferich","2009",224,120,104
"Stupferich","2010",209,108,101
"Stupferich","2011",206,104,102
"Stupferich","2012",188,98,90
"Stupferich","2013",189,95,94
"Stupferich","2014",185,92,93
"Stupferich","2015",193,96,97
"Stupferich","2016",201,96,105
"Stupferich","2017",206,101,105
"Stupferich","2018",224,112,112
"Stupferich","2019",247,124,123
"Stupferich","2020",274,145,129
"Stupferich","2021",289,154,135
"Hohenwettersbach","2007",368,200,168
"Hohenwettersbach","2008",371,197,174
"Hohenwettersbach","2009",378,195,183
"Hohenwettersbach","2010",388,208,180
"Hohenwettersbach","2011",401,214,187
"Hohenwettersbach","2012",409,214,195
"Hohenwettersbach","2013",409,223,186
"Hohenwettersbach","2014",409,216,193
"Hohenwettersbach","2015",388,207,181
"Hohenwettersbach","2016",375,202,173
"Hohenwettersbach","2017",369,192,177
"Hohenwettersbach","2018",361,200,161
"Hohenwettersbach","2019",355,198,157
"Hohenwettersbach","2020",341,189,152
"Hohenwettersbach","2021",335,186,149
"Wolfartsweier","2007",251,121,130
"Wolfartsweier","2008",253,126,127
"Wolfartsweier","2009",245,121,124
"Wolfartsweier","2010",239,114,125
"Wolfartsweier","2011",239,118,121
"Wolfartsweier","2012",232,115,117
"Wolfartsweier","2013",243,121,122
"Wolfartsweier","2014",239,124,115
"Wolfartsweier","2015",243,135,108
"Wolfartsweier","2016",232,125,107
"Wolfartsweier","2017",227,117,110
"Wolfartsweier","2018",220,120,100
"Wolfartsweier","2019",211,118,93
"Wolfartsweier","2020",205,114,91
"Wolfartsweier","2021",206,115,91
"Grünwettersbach","2007",345,174,171
"Grünwettersbach","2008",356,179,177
"Grünwettersbach","2009",357,181,176
"Grünwettersbach","2010",362,180,182
